model,target,horizon,rmse,mae,r2,bias,band_accuracy,band_within_one,rmse_std,n_folds,n,skill_vs_persistence,run_id,city_id,quick
ridge,aqi_max,1,16.241920617619478,12.289130473810696,0.3765164984454645,-1.2517720496629234,0.7866666666666666,0.9933333333333334,1.8980470673546384,5,300,0.0911298502108827,20260906T203412Z,karachi_pk,False
ridge#0,aqi_max,1,17.291945843381438,13.058501029521654,0.2906076037086637,-1.549079867636202,0.76,0.9933333333333334,2.258432009122805,5,300,0.0323722311651802,20260906T203412Z,karachi_pk,False
ridge#1,aqi_max,1,16.241920617619478,12.289130473810696,0.3765164984454645,-1.2517720496629234,0.7866666666666666,0.9933333333333334,1.8980470673546384,5,300,0.0911298502108827,20260906T203412Z,karachi_pk,False
ridge#2,aqi_max,1,15.1730105096867,11.550918263093346,0.459964917420664,-0.5278949312080308,0.7766666666666666,0.9966666666666668,1.6459478336689302,5,300,0.1509442350228652,20260906T203412Z,karachi_pk,False
ridge#3,aqi_max,1,14.444678433731308,11.076555394730908,0.5177658543851603,0.4197135682618791,0.8033333333333333,0.9966666666666668,1.7610079164109111,5,300,0.1917004545953026,20260906T203412Z,karachi_pk,False
elastic_net,aqi_max,1,14.110923446773006,10.960005142767937,0.5445229161439602,0.9945916045343122,0.7799999999999999,0.9966666666666668,2.1831720016407723,5,300,0.210376813883784,20260906T203412Z,karachi_pk,False
random_forest,aqi_max,1,15.078965958669798,11.396080995177831,0.4688096137263883,1.865810133718486,0.7566666666666666,0.9966666666666668,2.6402548777203867,5,300,0.1562068075462686,20260906T203412Z,karachi_pk,False
random_forest#0,aqi_max,1,14.47832034389451,11.194386340713068,0.5138654500207341,1.5895551393970055,0.7566666666666666,0.9966666666666668,3.151385721336577,5,300,0.1898179107355541,20260906T203412Z,karachi_pk,False
random_forest#1,aqi_max,1,15.0789659586698,11.396080995177831,0.4688096137263883,1.865810133718486,0.7566666666666666,0.9966666666666668,2.6402548777203863,5,300,0.1562068075462683,20260906T203412Z,karachi_pk,False
random_forest#2,aqi_max,1,14.533249567259976,11.160142949101726,0.5097833159159654,1.6289863190022882,0.7633333333333333,0.9966666666666668,2.772843130080801,5,300,0.1867441651704013,20260906T203412Z,karachi_pk,False
extra_trees,aqi_max,1,14.211887577358471,11.035740547484815,0.5333141800021374,1.09455268198092,0.7733333333333333,0.9966666666666668,2.8719397590083835,5,300,0.2047270335007305,20260906T203412Z,karachi_pk,False
hist_gradient_boosting,aqi_max,1,14.316453380387674,11.017763459604636,0.5284987327973656,0.1696044329771454,0.7699999999999999,1.0,3.011892057058447,5,300,0.1988757096764486,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#0,aqi_max,1,14.061912773968714,10.85013748812822,0.5445708202827477,-0.0760700641460064,0.76,0.9966666666666668,3.054447963540233,5,300,0.2131193674635977,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#1,aqi_max,1,14.316453380387674,11.017763459604636,0.5284987327973656,0.1696044329771454,0.7699999999999999,1.0,3.011892057058447,5,300,0.1988757096764486,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#2,aqi_max,1,14.539287522638489,11.017850397484484,0.5085193173508957,-1.0031700693868548,0.7733333333333332,1.0,3.523892548052987,5,300,0.1864062914953301,20260906T203412Z,karachi_pk,False
sarimax,aqi_max,1,17.870452254800146,12.77287788421322,0.2700144064007379,-0.0310519645120405,0.74,0.9866666666666668,3.014448012410784,5,300,0.0,20260906T203412Z,karachi_pk,False
persistence,aqi_max,2,23.42321730114632,18.06748932038428,-0.2389520604947215,-0.0248415716096323,0.6599999999999999,0.9733333333333334,4.4820420393653295,5,300,0.0,20260906T203412Z,karachi_pk,False
seasonal_naive,aqi_max,2,29.018721294757647,23.497073176641187,-0.9537279185086912,-0.3645500633713562,0.5633333333333334,0.97,2.353620927378171,5,300,-0.2388870803558436,20260906T203412Z,karachi_pk,False
climatology,aqi_max,2,24.950683290290225,20.039821601633,-0.4131691076757303,6.105021759278192,0.6333333333333333,0.9866666666666668,4.796847233294692,5,300,-0.065211621849623,20260906T203412Z,karachi_pk,False
drifted_persistence,aqi_max,2,25.26611939980379,19.63501257327812,-0.4410898442041214,0.0389387938318563,0.64,0.9566666666666668,4.54341500587066,5,300,-0.0786784357999907,20260906T203412Z,karachi_pk,False
ridge,aqi_max,2,22.57625047574567,17.44304956885069,-0.2045359580278426,-1.3460481822329775,0.68,0.98,2.9470757067463373,5,300,0.036159286510961,20260906T203412Z,karachi_pk,False
ridge#0,aqi_max,2,23.65257331142593,18.365909603830765,-0.3228748946841629,-1.8838813075344176,0.6766666666666666,0.98,3.110388576163704,5,300,-0.0097918235283753,20260906T203412Z,karachi_pk,False
ridge#1,aqi_max,2,22.57625047574567,17.44304956885069,-0.2045359580278426,-1.3460481822329775,0.68,0.98,2.9470757067463373,5,300,0.036159286510961,20260906T203412Z,karachi_pk,False
ridge#2,aqi_max,2,20.967607596329074,16.236515146186868,-0.0263994850774178,-0.1007117386188555,0.7033333333333333,0.9866666666666668,2.6532956181657634,5,300,0.1048365676348427,20260906T203412Z,karachi_pk,False
ridge#3,aqi_max,2,19.426769923618373,15.20683386323898,0.1373231614406149,1.4687622070050363,0.73,0.9933333333333334,2.736562346372468,5,300,0.1706190625372527,20260906T203412Z,karachi_pk,False
elastic_net,aqi_max,2,18.750538152727,14.893033302154544,0.2036413861180972,2.2872411838796927,0.71,0.9933333333333334,3.241124558762503,5,300,0.1994892114240277,20260906T203412Z,karachi_pk,False
random_forest,aqi_max,2,18.755939884288427,14.872480057551972,0.2004420983905825,1.2807683726042125,0.6900000000000002,0.9966666666666668,3.0736414221525847,5,300,0.1992585970087669,20260906T203412Z,karachi_pk,False
random_forest#0,aqi_max,2,18.74771598945113,14.900519814742957,0.2003152468328409,1.3147078707175317,0.6833333333333333,0.9966666666666668,3.082265118017022,5,300,0.1996096971472134,20260906T203412Z,karachi_pk,False
random_forest#1,aqi_max,2,18.755939884288427,14.872480057551972,0.2004420983905828,1.2807683726042112,0.6900000000000002,0.9966666666666668,3.0736414221525847,5,300,0.1992585970087669,20260906T203412Z,karachi_pk,False
random_forest#2,aqi_max,2,18.69356084478179,14.781355427727055,0.2043125254952476,0.9490176589673204,0.7,0.9966666666666668,3.0519302772083186,5,300,0.2019217255920289,20260906T203412Z,karachi_pk,False
extra_trees,aqi_max,2,18.646045893055177,14.75572049024282,0.2110908477844229,0.4536367092690961,0.7066666666666667,0.9933333333333334,3.3334108402952034,5,300,0.2039502663819521,20260906T203412Z,karachi_pk,False
hist_gradient_boosting,aqi_max,2,18.74531367750144,14.772399030703005,0.1990335723519975,-0.3022415951028077,0.6833333333333333,0.9933333333333334,4.208786453407017,5,300,0.1997122582906638,20260906T203412Z,karachi_pk,False
